"","mice","AGE","REMAINTIME","Smurf_state","realigne_Time","death_time","time_0_to_death"
"1",1,0,-210,"birth",-210,NA,NA
"2",1,101,-109,"NS",-96,NA,NA
"3",1,122,-88,"NS",-75,NA,NA
"4",1,148,-62,"NS",-49,NA,NA
"5",1,197,-13,"S",0,NA,NA
"6",1,198,0,"death",13,13,-13
"7",2,0,-287,"birth",-287,NA,NA
"8",2,101,-186,"NS",-166,NA,NA
"9",2,122,-165,"NS",-145,NA,NA
"10",2,148,-139,"NS",-119,NA,NA
"11",2,197,-90,"NS",-70,NA,NA
"12",2,226,-61,"NS",-41,NA,NA
"13",2,252,-35,"NS",-15,NA,NA
"14",2,267,-20,"S",0,NA,NA
"15",2,287,0,"S",20,NA,NA
"16",2,288,0,"death",20,20,-20
"17",4,0,-267,"birth",-267,NA,NA
"18",4,101,-166,"NS",-166,NA,NA
"19",4,122,-145,"NS",-145,NA,NA
"20",4,148,-119,"NS",-119,NA,NA
"21",4,197,-70,"NS",-70,NA,NA
"22",4,226,-41,"NS",-41,NA,NA
"23",4,252,-15,"NS",-15,NA,NA
"24",4,253,0,"death",0,0,0
"25",5,0,-267,"birth",-267,NA,NA
"26",5,101,-166,"NS",-151,NA,NA
"27",5,122,-145,"NS",-130,NA,NA
"28",5,148,-119,"NS",-104,NA,NA
"29",5,197,-70,"NS",-55,NA,NA
"30",5,226,-41,"NS",-26,NA,NA
"31",5,252,-15,"S",0,NA,NA
"32",5,267,0,"S",15,NA,NA
"33",5,268,0,"death",15,15,-15
"34",6,0,-216,"birth",-216,NA,NA
"35",6,101,-115,"NS",-115,NA,NA
"36",6,122,-94,"NS",-94,NA,NA
"37",6,148,-68,"NS",-68,NA,NA
"38",6,197,-19,"NS",-19,NA,NA
"39",6,198,0,"death",0,0,0
"40",8,0,-279,"birth",-279,NA,NA
"41",8,101,-178,"NS",-166,NA,NA
"42",8,122,-157,"NS",-145,NA,NA
"43",8,148,-131,"NS",-119,NA,NA
"44",8,197,-82,"NS",-70,NA,NA
"45",8,226,-53,"NS",-41,NA,NA
"46",8,252,-27,"NS",-15,NA,NA
"47",8,267,-12,"S",0,NA,NA
"48",8,268,0,"death",12,12,-12
"49",9,0,-220,"birth",-220,NA,NA
"50",9,101,-119,"NS",-119,NA,NA
"51",9,122,-98,"NS",-98,NA,NA
"52",9,148,-72,"NS",-72,NA,NA
"53",9,197,-23,"NS",-23,NA,NA
"54",9,198,0,"death",0,0,0
"55",10,0,-267,"birth",-267,NA,NA
"56",10,101,-166,"NS",-151,NA,NA
"57",10,122,-145,"NS",-130,NA,NA
"58",10,148,-119,"NS",-104,NA,NA
"59",10,197,-70,"NS",-55,NA,NA
"60",10,226,-41,"NS",-26,NA,NA
"61",10,252,-15,"S",0,NA,NA
"62",10,253,0,"death",15,15,-15
"63",11,0,-246,"birth",-246,NA,NA
"64",11,101,-145,"NS",-125,NA,NA
"65",11,122,-124,"NS",-104,NA,NA
"66",11,148,-98,"NS",-78,NA,NA
"67",11,197,-49,"NS",-29,NA,NA
"68",11,226,-20,"S",0,NA,NA
"69",11,227,0,"death",20,20,-20
"70",15,0,-279,"birth",-279,NA,NA
"71",15,101,-178,"NS",-151,NA,NA
