"","mice","AGE","REMAINTIME","Smurf_state","realigne_Time","death_time","time_0_to_death"
"1",1,0,-1052,"birth",-1052,NA,NA
"2",1,760,-292,"NS",-274,NA,NA
"3",1,766,-286,"NS",-268,NA,NA
"4",1,782,-270,"NS",-252,NA,NA
"5",1,794,-258,"NS",-240,NA,NA
"6",1,809,-243,"NS",-225,NA,NA
"7",1,822,-230,"NS",-212,NA,NA
"8",1,836,-216,"NS",-198,NA,NA
"9",1,850,-202,"NS",-184,NA,NA
"10",1,864,-188,"NS",-170,NA,NA
"11",1,878,-174,"NS",-156,NA,NA
"12",1,893,-159,"NS",-141,NA,NA
"13",1,906,-146,"NS",-128,NA,NA
"14",1,921,-131,"NS",-113,NA,NA
"15",1,935,-117,"NS",-99,NA,NA
"16",1,948,-104,"NS",-86,NA,NA
"17",1,962,-90,"NS",-72,NA,NA
"18",1,978,-74,"NS",-56,NA,NA
"19",1,990,-62,"NS",-44,NA,NA
"20",1,1003,-49,"NS",-31,NA,NA
"21",1,1018,-34,"NS",-16,NA,NA
"22",1,1034,-18,"S",0,NA,NA
"23",1,1047,-5,"NS",13,NA,NA
"24",1,1048,0,"death",18,18,-18
"25",2,0,-974,"birth",-974,NA,NA
"26",2,760,-214,"NS",-214,NA,NA
"27",2,766,-208,"NS",-208,NA,NA
"28",2,782,-192,"NS",-192,NA,NA
"29",2,794,-180,"NS",-180,NA,NA
"30",2,809,-165,"NS",-165,NA,NA
"31",2,822,-152,"NS",-152,NA,NA
"32",2,836,-138,"NS",-138,NA,NA
"33",2,850,-124,"NS",-124,NA,NA
"34",2,864,-110,"NS",-110,NA,NA
"35",2,878,-96,"NS",-96,NA,NA
"36",2,893,-81,"NS",-81,NA,NA
"37",2,906,-68,"NS",-68,NA,NA
"38",2,921,-53,"NS",-53,NA,NA
"39",2,935,-39,"NS",-39,NA,NA
"40",2,948,-26,"NS",-26,NA,NA
"41",2,962,-12,"NS",-12,NA,NA
"42",2,963,0,"death",0,0,0
"43",3,0,-873,"birth",-873,NA,NA
"44",3,760,-113,"S",0,NA,NA
"45",3,766,-107,"NS",6,NA,NA
"46",3,782,-91,"NS",22,NA,NA
"47",3,794,-79,"NS",34,NA,NA
"48",3,809,-64,"NS",49,NA,NA
"49",3,822,-51,"NS",62,NA,NA
"50",3,836,-37,"NS",76,NA,NA
"51",3,850,-23,"NS",90,NA,NA
"52",3,864,-9,"S",104,NA,NA
"53",3,865,0,"death",113,113,-113
"54",4,0,-940,"birth",-940,NA,NA
"55",4,760,-180,"NS",-180,NA,NA
"56",4,766,-174,"NS",-174,NA,NA
"57",4,782,-158,"NS",-158,NA,NA
"58",4,794,-146,"NS",-146,NA,NA
"59",4,809,-131,"NS",-131,NA,NA
"60",4,822,-118,"NS",-118,NA,NA
"61",4,836,-104,"NS",-104,NA,NA
"62",4,850,-90,"NS",-90,NA,NA
"63",4,864,-76,"NS",-76,NA,NA
"64",4,878,-62,"NS",-62,NA,NA
"65",4,893,-47,"NS",-47,NA,NA
"66",4,906,-34,"NS",-34,NA,NA
"67",4,921,-19,"NS",-19,NA,NA
"68",4,935,-5,"NS",-5,NA,NA
"69",4,936,0,"death",0,0,0
"70",5,0,-1003,"birth",-1003,NA,NA
"71",5,760,-243,"NS",-230,NA,NA
"72",5,766,-237,"NS",-224,NA,NA
"73",5,782,-221,"NS",-208,NA,NA
"74",5,794,-209,"NS",-196,NA,NA
"75",5,809,-194,"NS",-181,NA,NA
"76",5,822,-181,"NS",-168,NA,NA
"77",5,836,-167,"NS",-154,NA,NA
"78",5,850,-153,"NS",-140,NA,NA
"79",5,864,-139,"NS",-126,NA,NA
"80",5,878,-125,"NS",-112,NA,NA
"81",5,893,-110,"NS",-97,NA,NA
"82",5,906,-97,"NS",-84,NA,NA
"83",5,921,-82,"NS",-69,NA,NA
"84",5,935,-68,"NS",-55,NA,NA
"85",5,948,-55,"NS",-42,NA,NA
"86",5,962,-41,"NS",-28,NA,NA
"87",5,978,-25,"NS",-12,NA,NA
"88",5,990,-13,"S",0,NA,NA
"89",5,991,0,"death",13,13,-13
"90",6,0,-1045,"birth",-1045,NA,NA
"91",6,760,-285,"NS",-258,NA,NA
"92",6,766,-279,"NS",-252,NA,NA
"93",6,782,-263,"NS",-236,NA,NA
"94",6,794,-251,"NS",-224,NA,NA
"95",6,809,-236,"NS",-209,NA,NA
"96",6,822,-223,"NS",-196,NA,NA
"97",6,836,-209,"NS",-182,NA,NA
"98",6,850,-195,"NS",-168,NA,NA
"99",6,864,-181,"NS",-154,NA,NA
"100",6,878,-167,"NS",-140,NA,NA
"101",6,893,-152,"NS",-125,NA,NA
"102",6,906,-139,"NS",-112,NA,NA
"103",6,921,-124,"NS",-97,NA,NA
"104",6,935,-110,"NS",-83,NA,NA
"105",6,948,-97,"NS",-70,NA,NA
"106",6,962,-83,"NS",-56,NA,NA
"107",6,978,-67,"NS",-40,NA,NA
"108",6,990,-55,"NS",-28,NA,NA
"109",6,1003,-42,"NS",-15,NA,NA
"110",6,1018,-27,"S",0,NA,NA
"111",6,1034,-11,"S",16,NA,NA
"112",6,1035,0,"death",27,27,-27
"113",7,0,-975,"birth",-975,NA,NA
"114",7,760,-215,"NS",-215,NA,NA
"115",7,766,-209,"NS",-209,NA,NA
"116",7,782,-193,"NS",-193,NA,NA
"117",7,794,-181,"NS",-181,NA,NA
"118",7,809,-166,"NS",-166,NA,NA
"119",7,822,-153,"NS",-153,NA,NA
"120",7,836,-139,"NS",-139,NA,NA
"121",7,850,-125,"NS",-125,NA,NA
"122",7,864,-111,"NS",-111,NA,NA
"123",7,878,-97,"NS",-97,NA,NA
"124",7,893,-82,"NS",-82,NA,NA
"125",7,906,-69,"NS",-69,NA,NA
"126",7,921,-54,"NS",-54,NA,NA
"127",7,935,-40,"NS",-40,NA,NA
"128",7,948,-27,"NS",-27,NA,NA
"129",7,962,-13,"NS",-13,NA,NA
"130",7,978,-1,"NS",0,NA,NA
"131",7,979,0,"death",0,0,0
"132",8,0,-793,"birth",-793,NA,NA
"133",8,760,-33,"NS",-33,NA,NA
"134",8,766,-27,"NS",-27,NA,NA
"135",8,782,-11,"NS",-11,NA,NA
"136",8,783,0,"death",0,0,0
"137",9,0,-923,"birth",-923,NA,NA
"138",9,760,-163,"NS",-146,NA,NA
"139",9,766,-157,"NS",-140,NA,NA
"140",9,782,-141,"NS",-124,NA,NA
"141",9,794,-129,"NS",-112,NA,NA
"142",9,809,-114,"NS",-97,NA,NA
"143",9,822,-101,"NS",-84,NA,NA
"144",9,836,-87,"NS",-70,NA,NA
"145",9,850,-73,"NS",-56,NA,NA
"146",9,864,-59,"NS",-42,NA,NA
"147",9,878,-45,"NS",-28,NA,NA
"148",9,893,-30,"NS",-13,NA,NA
"149",9,906,-17,"S",0,NA,NA
"150",9,921,-2,"NS",15,NA,NA
"151",9,922,0,"death",17,17,-17
"152",10,0,-1013,"birth",-1013,NA,NA
"153",10,760,-253,"NS",-243,NA,NA
"154",10,766,-247,"NS",-237,NA,NA
"155",10,782,-231,"NS",-221,NA,NA
"156",10,794,-219,"NS",-209,NA,NA
"157",10,809,-204,"NS",-194,NA,NA
"158",10,822,-191,"NS",-181,NA,NA
"159",10,836,-177,"NS",-167,NA,NA
"160",10,850,-163,"NS",-153,NA,NA
"161",10,864,-149,"NS",-139,NA,NA
"162",10,878,-135,"NS",-125,NA,NA
"163",10,893,-120,"NS",-110,NA,NA
"164",10,906,-107,"NS",-97,NA,NA
"165",10,921,-92,"NS",-82,NA,NA
"166",10,935,-78,"NS",-68,NA,NA
"167",10,948,-65,"NS",-55,NA,NA
"168",10,962,-51,"NS",-41,NA,NA
"169",10,978,-35,"NS",-25,NA,NA
"170",10,990,-23,"NS",-13,NA,NA
"171",10,1003,-10,"S",0,NA,NA
"172",10,1004,0,"death",10,10,-10
"173",11,0,-801,"birth",-801,NA,NA
"174",11,760,-41,"NS",-41,NA,NA
"175",11,766,-35,"NS",-35,NA,NA
"176",11,782,-19,"NS",-19,NA,NA
"177",11,794,-7,"NS",-7,NA,NA
"178",11,795,0,"death",0,0,0
"179",12,0,-1160,"birth",-1160,NA,NA
"180",12,760,-400,"NS",-328,NA,NA
"181",12,766,-394,"NS",-322,NA,NA
"182",12,782,-378,"NS",-306,NA,NA
"183",12,794,-366,"NS",-294,NA,NA
"184",12,809,-351,"NS",-279,NA,NA
"185",12,822,-338,"NS",-266,NA,NA
"186",12,836,-324,"NS",-252,NA,NA
"187",12,850,-310,"NS",-238,NA,NA
"188",12,864,-296,"NS",-224,NA,NA
"189",12,878,-282,"NS",-210,NA,NA
"190",12,893,-267,"NS",-195,NA,NA
"191",12,906,-254,"NS",-182,NA,NA
"192",12,921,-239,"NS",-167,NA,NA
"193",12,935,-225,"NS",-153,NA,NA
"194",12,948,-212,"NS",-140,NA,NA
"195",12,962,-198,"NS",-126,NA,NA
"196",12,978,-182,"NS",-110,NA,NA
"197",12,990,-170,"NS",-98,NA,NA
"198",12,1003,-157,"NS",-85,NA,NA
"199",12,1018,-142,"NS",-70,NA,NA
"200",12,1034,-126,"NS",-54,NA,NA
"201",12,1047,-113,"NS",-41,NA,NA
"202",12,1059,-101,"NS",-29,NA,NA
"203",12,1088,-72,"S",0,NA,NA
"204",12,1102,-58,"NS",14,NA,NA
"205",12,1116,-44,"NS",28,NA,NA
"206",12,1126,-34,"NS",38,NA,NA
"207",12,1137,-23,"NS",49,NA,NA
"208",12,1150,-10,"S",62,NA,NA
"209",12,1151,0,"death",72,72,-72
"210",13,0,-1003,"birth",-1003,NA,NA
"211",13,760,-243,"NS",-230,NA,NA
"212",13,766,-237,"NS",-224,NA,NA
"213",13,782,-221,"NS",-208,NA,NA
"214",13,794,-209,"NS",-196,NA,NA
"215",13,809,-194,"NS",-181,NA,NA
"216",13,822,-181,"NS",-168,NA,NA
"217",13,836,-167,"NS",-154,NA,NA
"218",13,850,-153,"NS",-140,NA,NA
"219",13,864,-139,"NS",-126,NA,NA
"220",13,878,-125,"NS",-112,NA,NA
"221",13,893,-110,"NS",-97,NA,NA
"222",13,906,-97,"NS",-84,NA,NA
"223",13,921,-82,"NS",-69,NA,NA
"224",13,935,-68,"NS",-55,NA,NA
"225",13,948,-55,"NS",-42,NA,NA
"226",13,962,-41,"NS",-28,NA,NA
"227",13,978,-25,"NS",-12,NA,NA
"228",13,990,-13,"S",0,NA,NA
"229",13,991,0,"death",13,13,-13
"230",14,0,-774,"birth",-774,NA,NA
"231",14,760,-14,"S",0,NA,NA
"232",14,766,-8,"NS",6,NA,NA
"233",14,767,0,"death",14,14,-14
"234",15,0,-836,"birth",-836,NA,NA
"235",15,760,-76,"NS",-76,NA,NA
"236",15,766,-70,"NS",-70,NA,NA
"237",15,782,-54,"NS",-54,NA,NA
"238",15,794,-42,"NS",-42,NA,NA
"239",15,809,-27,"NS",-27,NA,NA
