"","x"
"1",0.000342634049012193
"2",0.000370267493271008
"3",7.32789029179357e-05
"4",4.80683301596155e-05
"5",3.86179259322134e-05
"6",2.45880545082708e-05
"7",6.10127653725272e-06
"8",8.98851983046356e-06
"9",1.26851116898837e-05
"10",1.20694854101792e-05
"11",5.85041897955298e-06
"12",5.66175728550913e-06
"13",1.00148335641077e-05
"14",6.8044439478272e-06
"15",1.20508294091297e-05
"16",4.09757331208896e-06
"17",5.32910716464386e-06
"18",7.32350945435873e-06
"19",5.71932260325552e-06
"20",7.06747776265073e-06
"21",3.76246448060435e-06
"22",2.16953056811952e-06
"23",1.64591012361624e-06
"24",1.38769088527276e-06
"25",1.28926718172071e-06
"26",1.36744552716069e-06
"27",1.11248472360078e-06
"28",1.08946317261468e-06
"29",1.12483803349415e-06
"30",8.24399044081985e-07
"31",8.76338480146952e-07
"32",7.51040407468214e-07
"33",7.96592217924904e-07
"34",8.21952424034049e-07
"35",8.4742871637992e-07
"36",6.77392932744733e-07
"37",7.80538241619983e-07
"38",6.42625942106266e-07
"39",5.92472403868405e-07
"40",5.20852665574608e-07
"41",6.33899772300828e-07
"42",5.71829139668286e-07
"43",6.01818870220977e-07
"44",5.03367291560075e-07
"45",5.76483336288161e-07
"46",6.04226086698316e-07
"47",5.86600694682547e-07
"48",6.13265228715384e-07
"49",5.22773139770131e-07
"50",5.90690102938055e-07
"51",4.98060077573833e-07
"52",4.36020901465509e-07
"53",4.56479939271593e-07
"54",4.23024830372767e-07
"55",4.61154761503241e-07
"56",4.60901151805054e-07
"57",3.77978973121191e-07
"58",3.93987261847057e-07
"59",3.79466128783874e-07
"60",3.70950180031127e-07
"61",3.25171604486502e-07
"62",3.48959000308669e-07
"63",3.16918778771938e-07
"64",3.75044006187834e-07
"65",3.05057738801541e-07
"66",3.47822091900703e-07
"67",3.41738629393191e-07
"68",3.15949450628316e-07
"69",3.81067425830312e-07
"70",3.25344025989215e-07
"71",3.51833842329486e-07
"72",3.71235328577258e-07
"73",3.76949648401005e-07
"74",3.66223496015995e-07
"75",3.4687092471911e-07
