"","x"
"1",7.81087720367592e-09
"2",8.25882913718046e-09
"3",8.23799976545695e-09
"4",8.48064279711651e-09
"5",7.56957498362934e-09
"6",7.26621224289685e-09
"7",7.10126542025808e-09
"8",6.55912718374439e-09
"9",7.61953140702491e-09
"10",7.01368982070523e-09
"11",7.63110380407424e-09
"12",7.44137792758503e-09
"13",6.96299917865716e-09
"14",7.32045265920986e-09
"15",7.10822244425092e-09
"16",6.59370429905546e-09
"17",6.95239389318358e-09
"18",7.42208213233426e-09
"19",6.50335086504694e-09
"20",7.1329468368175e-09
"21",6.46453482958692e-09
"22",6.26562412693696e-09
"23",6.38303819441875e-09
"24",6.07411599539928e-09
"25",6.46174855358451e-09
"26",7.07717896498521e-09
"27",6.36806189096665e-09
"28",6.67447091418114e-09
"29",6.68622439840948e-09
"30",6.08101130608887e-09
"31",6.74672357545504e-09
"32",6.61534994477531e-09
"33",6.25012852570575e-09
"34",6.16632748204255e-09
"35",6.67874806089172e-09
"36",6.95318397986438e-09
"37",6.89559224065951e-09
"38",6.59942720298313e-09
"39",6.79668688001288e-09
"40",6.59693167832521e-09
"41",7.71542898924821e-09
"42",6.18226969577233e-09
"43",6.47328377644766e-09
"44",6.23487089355087e-09
"45",6.86449702952995e-09
"46",6.39609268558514e-09
"47",6.83473198053449e-09
"48",5.62446265150465e-09
"49",6.67633684695815e-09
"50",6.3109817117455e-09
"51",6.454324577849e-09
"52",5.88789131011879e-09
"53",6.38174010511689e-09
"54",7.55480528189242e-09
"55",6.48606130559473e-09
"56",6.57046756593866e-09
"57",6.58874973577801e-09
"58",7.17648477824548e-09
"59",6.77908133174067e-09
"60",6.65111365391092e-09
"61",6.5552864146206e-09
"62",6.51124388839437e-09
"63",6.6786989222854e-09
"64",6.60142891483778e-09
"65",7.03668537500452e-09
"66",7.06207480215235e-09
"67",6.66004164457902e-09
"68",6.77330485976794e-09
"69",6.5980952119257e-09
"70",6.13146980031091e-09
"71",7.1092213954617e-09
"72",7.16204927447046e-09
"73",7.11945721429233e-09
"74",6.68920416212996e-09
"75",7.3976215990501e-09
"76",6.97798490563748e-09
"77",6.91692953799288e-09
"78",7.39727618243972e-09
"79",6.45076527508236e-09
"80",7.30279178553586e-09
"81",7.14497616831124e-09
"82",7.33673346847118e-09
"83",7.33940380536287e-09
"84",6.8855058022905e-09
"85",7.477422284617e-09
"86",7.30182337476662e-09
"87",6.63076616629187e-09
"88",7.28539724822501e-09
"89",7.27425864120451e-09
"90",6.75018385805025e-09
"91",6.91832135449824e-09
"92",7.08700228968273e-09
"93",7.65938926078922e-09
"94",6.76217120157311e-09
"95",6.83448814021115e-09
"96",6.92973530132057e-09
"97",6.84136533533142e-09
"98",7.59982076021337e-09
"99",7.76021771420785e-09
"100",7.18975733889412e-09
"101",7.38606976117051e-09
"102",7.1242207993176e-09
"103",7.50759365561861e-09
"104",7.6447802380725e-09
"105",7.06144255585809e-09
"106",7.50231640923344e-09
"107",7.48730565145124e-09
"108",7.68854820064713e-09
"109",7.35465224990844e-09
"110",7.37257952264776e-09
"111",7.42902746604345e-09
"112",8.22772805084342e-09
"113",6.90842470054611e-09
"114",7.44945924397995e-09
"115",6.89214358644646e-09
"116",7.36753262437998e-09
"117",7.09764594879414e-09
"118",7.31814933900568e-09
"119",7.19830451610139e-09
"120",7.37097532378404e-09
"121",7.58965298148502e-09
"122",7.32375669972606e-09
"123",6.83092196711853e-09
"124",7.55805578438395e-09
"125",7.23134085587814e-09
"126",7.26359773441837e-09
"127",7.71102312697894e-09
"128",7.56434200142824e-09
"129",7.99483646319987e-09
"130",7.52206607938264e-09
"131",7.29686758414878e-09
"132",7.68261706292925e-09
"133",7.6954055588232e-09
"134",7.61232985942991e-09
"135",7.21293867799072e-09
"136",7.79944602358092e-09
"137",7.02252797879543e-09
"138",7.60200486731773e-09
"139",7.65120394208509e-09
"140",7.14368341817506e-09
"141",7.49420225334107e-09
"142",7.6710278267785e-09
"143",7.33268025466897e-09
"144",7.2844489176585e-09
"145",7.4737854142671e-09
"146",7.60667618569111e-09
"147",7.21171207109707e-09
"148",7.06024937708661e-09
"149",7.35750578630627e-09
"150",7.2341483293629e-09
"151",7.42298900340949e-09
"152",7.47712104086433e-09
"153",7.54793074320571e-09
"154",7.4099221360898e-09
"155",7.51177714233112e-09
"156",7.70232030810576e-09
"157",7.19333677752983e-09
"158",6.79567976844162e-09
"159",6.8300948294481e-09
"160",7.04820253804016e-09
"161",7.11014038477114e-09
"162",7.09027146855177e-09
"163",7.02909901800189e-09
"164",7.23048850199404e-09
"165",6.87360373939397e-09
"166",7.42070860550259e-09
"167",7.52234790236477e-09
"168",7.36900091905037e-09
"169",7.28559592202632e-09
"170",7.19481534258536e-09
"171",7.21249765069474e-09
"172",6.89391760201238e-09
"173",7.20033183877594e-09
"174",6.96460076928953e-09
"175",6.67954863599754e-09
"176",7.0694221270037e-09
"177",7.03967811639799e-09
"178",7.24745252718292e-09
"179",6.12109365705213e-09
"180",7.13286440618432e-09
"181",7.18209748332928e-09
"182",6.9311603355518e-09
"183",7.13278955613072e-09
"184",6.58493822989764e-09
"185",6.7003157249527e-09
"186",7.01974638178187e-09
"187",6.6370141301491e-09
"188",6.93135262061683e-09
"189",6.62884222669543e-09
"190",6.7417563360752e-09
"191",6.82447077231965e-09
"192",6.49685306049158e-09
"193",6.44404924333189e-09
"194",7.06640642001994e-09
"195",6.36204272573263e-09
"196",6.57995053548563e-09
"197",6.62711121947464e-09
"198",6.55728904374135e-09
"199",6.03296129386413e-09
"200",6.38576590946351e-09
"201",6.29940080362628e-09
"202",6.62685007146485e-09
"203",6.56710545495983e-09
"204",6.60087050984866e-09
"205",6.63511960780338e-09
"206",6.32959074030493e-09
"207",6.37530129688688e-09
"208",6.15508413563174e-09
"209",6.39381356466059e-09
"210",6.34642463394158e-09
"211",6.09577026653598e-09
"212",6.45740592521515e-09
"213",6.34051128824925e-09
"214",6.71620647274172e-09
"215",6.08171203451195e-09
"216",6.209116219515e-09
"217",6.4190096854095e-09
"218",6.28642920684137e-09
"219",6.29180384102832e-09
"220",6.46640669447313e-09
"221",6.44222061417121e-09
"222",5.94200904755166e-09
"223",6.37384411116874e-09
"224",6.48230097166222e-09
"225",6.12966906866203e-09
"226",6.4556537074448e-09
"227",5.79264610798935e-09
"228",5.65185581242843e-09
"229",6.1306026818566e-09
"230",6.15856375501136e-09
"231",5.9136079899709e-09
"232",6.05246220092884e-09
"233",6.22455148545198e-09
"234",5.94234103592389e-09
"235",5.94946025847099e-09
"236",6.25031939651369e-09
"237",5.68335387523115e-09
"238",6.01967231241771e-09
"239",6.11216847148271e-09
"240",5.89055403510879e-09
"241",6.30352176499611e-09
"242",6.15014947370828e-09
"243",5.99183211734852e-09
"244",5.91328554014471e-09
"245",5.95420412985336e-09
"246",6.1335077458685e-09
"247",6.28024552831865e-09
"248",5.96663875965122e-09
"249",5.80976671527867e-09
"250",5.62773948481285e-09
"251",5.67005850082989e-09
"252",6.18153097315967e-09
"253",5.90685812565899e-09
"254",6.0116117695525e-09
"255",5.67822246815628e-09
"256",5.79615283747117e-09
"257",5.89381066779199e-09
"258",6.27588311139094e-09
"259",6.0227640592292e-09
"260",5.86842173090491e-09
"261",5.79590969745209e-09
"262",5.99804912481241e-09
"263",5.64611542864542e-09
"264",5.86504629825457e-09
"265",5.69411141495863e-09
"266",5.84759349950024e-09
"267",5.5789448929116e-09
"268",5.77837450504686e-09
"269",5.69037827515035e-09
"270",5.93407258103968e-09
"271",5.87766285859982e-09
"272",5.81741518088567e-09
"273",5.98775277926407e-09
"274",5.76387272063461e-09
"275",5.64298434313517e-09
"276",5.83888226348121e-09
"277",5.86306959878152e-09
"278",5.77993621411064e-09
"279",5.74254132524299e-09
"280",6.00033312488207e-09
"281",5.74255764643712e-09
"282",5.87328149880658e-09
"283",5.69417488253163e-09
"284",5.94477829737769e-09
"285",6.08293095562732e-09
"286",5.76119087679654e-09
"287",5.83610695926632e-09
"288",5.83857574118769e-09
"289",5.83027877632839e-09
"290",5.92567894762402e-09
"291",5.56611536350983e-09
"292",5.93519927277885e-09
"293",5.91856421752319e-09
"294",5.82749261517569e-09
"295",5.66249438161033e-09
"296",6.26096271485825e-09
"297",5.6118931640913e-09
"298",5.70706030997451e-09
"299",5.96115902395418e-09
"300",5.78499310352873e-09
"301",5.8694157110563e-09
"302",5.7461816371858e-09
"303",6.17993693680622e-09
"304",6.22011204653755e-09
"305",6.05093323012787e-09
"306",5.779534345582e-09
"307",5.91452526287009e-09
"308",5.93336925358147e-09
"309",5.94001166239437e-09
"310",5.79305278293015e-09
"311",6.18841578389725e-09
"312",6.3343739535391e-09
"313",6.14732161982034e-09
"314",5.80075663369415e-09
"315",6.12969192721654e-09
"316",6.14457230140138e-09
"317",5.97846498185057e-09
"318",5.85121398914567e-09
"319",6.02711925035094e-09
"320",5.92363442721909e-09
"321",6.38200579179791e-09
"322",6.33213213929954e-09
"323",5.99679636112639e-09
"324",5.81623239183414e-09
"325",6.17341986712338e-09
"326",5.99012733289953e-09
"327",6.01129822421372e-09
"328",6.03621469161108e-09
"329",5.91907831270482e-09
"330",6.43395734956992e-09
"331",6.38223627671922e-09
"332",6.19640992216095e-09
"333",6.17586456606622e-09
"334",6.23579429296626e-09
"335",6.43143678939278e-09
"336",6.22984578481451e-09
"337",6.42022675219557e-09
"338",6.33779461756844e-09
"339",6.46346571749615e-09
"340",6.5192511401669e-09
"341",6.34779029812719e-09
"342",6.55967763631277e-09
"343",6.53239776527625e-09
"344",6.68819594340015e-09
"345",6.41722154761209e-09
"346",6.66333495448507e-09
"347",6.53498483811449e-09
"348",6.61227017780923e-09
"349",6.39227922836921e-09
"350",6.57008051588081e-09
"351",6.62986237644825e-09
"352",6.57084942057921e-09
