"","x"
"1",5.43069367566541e-08
"2",7.61822135204098e-08
"3",7.08251422869355e-08
"4",6.06153504187299e-08
"5",6.43269217971979e-08
"6",5.58597240206124e-08
"7",5.57353679847624e-08
"8",6.47942782165821e-08
"9",5.61685495924771e-08
"10",4.83636051962685e-08
"11",5.16500057844563e-08
"12",4.20909285937569e-08
"13",3.7575637618778e-08
"14",4.41620110703779e-08
"15",3.81995271012096e-08
"16",3.66218011897349e-08
"17",4.11662415023585e-08
"18",4.49353286512874e-08
"19",3.28284493115106e-08
"20",3.34807002743148e-08
"21",3.85307305807509e-08
"22",3.44717834208505e-08
"23",2.92774471855135e-08
"24",3.07440945498299e-08
"25",2.97383674062054e-08
"26",2.90978405125471e-08
"27",2.86013677484849e-08
"28",2.59399868450558e-08
"29",2.61141369123332e-08
"30",2.60567721184396e-08
"31",2.45511932962566e-08
"32",2.38658721560028e-08
"33",2.33839128394638e-08
"34",2.17356548595519e-08
"35",1.97586335766275e-08
"36",2.17546508656844e-08
"37",2.05245557197547e-08
"38",2.1587310213423e-08
"39",2.11257008389878e-08
"40",2.15188225513878e-08
"41",2.05314592106764e-08
"42",1.78324836059076e-08
"43",2.12771823510933e-08
"44",1.90216683647486e-08
"45",1.96878956667835e-08
"46",2.06826283767143e-08
"47",1.87586362761582e-08
"48",1.80154868666165e-08
"49",2.10207153778428e-08
"50",1.73403942924407e-08
"51",1.87236319258883e-08
"52",1.80691201068393e-08
"53",1.90764309195182e-08
"54",1.70196398222539e-08
"55",1.91239259920401e-08
"56",1.62857212644209e-08
"57",1.91970282174986e-08
"58",1.78374295671863e-08
"59",1.77698655403943e-08
"60",1.75861089724144e-08
"61",1.79055341877279e-08
"62",1.70187694118438e-08
"63",1.71229489171887e-08
"64",1.763633725736e-08
"65",1.9440477550289e-08
"66",1.55932580255744e-08
"67",1.66424810937784e-08
"68",1.83367632182669e-08
"69",1.80706474060647e-08
"70",1.67480380288596e-08
"71",1.68939895291478e-08
"72",1.79460565052031e-08
"73",1.89455158936888e-08
"74",1.65530339666518e-08
"75",1.75538644498127e-08
"76",1.79701544184756e-08
"77",1.82346215821154e-08
"78",1.69996920554636e-08
"79",1.69177372693999e-08
"80",1.65570516549747e-08
"81",1.56156234158158e-08
"82",1.65906864327805e-08
"83",1.64679181781952e-08
"84",1.70901794380478e-08
"85",1.60021707991138e-08
"86",1.87209652424893e-08
"87",1.73629060550105e-08
"88",1.60254044533344e-08
"89",1.70946604821246e-08
"90",1.63102600648537e-08
"91",1.81260514488652e-08
"92",1.5962399778794e-08
"93",1.76907693031401e-08
"94",1.59631155061212e-08
"95",1.65838786730846e-08
