m	v	0	21	24	27	45	47	69	79	93	103	120	127	141	144	145	169	172	175	189	193	197	216	217	220	242	262	266	267	288	289	291	305	315	330	335	340	356	364	368	380	388	389	407	413	431	436	438	451	461	462	476	482	486	498	509	511	523	534	535	547	556	560	577	582	601	604	609	619	628	633	648	652	672	675	681	693	704	718	724	729	742	748	772	753	778	762	790	798	802	814	817	826	835	844	851	857	863	880	899	907	932	937	955	960	971	979	992	1013	1019
1	1											s		sd																																																																																																
1	2					s		sd																																																																																																						
1	3																																																																				s																		sd																							
1	4	s?	ns																								s			s			s?		ns																															s			sl					s																				sd																
1	5													s?																s			s?		ns											sl																				s			s																		sd																							
1	6													sl																											s																												s																			sd																						
1	7																	s												s			s?		s						sd																																																																					
1	8													sl									sd																																																																																							
1	9																																		sl																	sd																																																										
1	10																																																															sl													s		sd																															
1	11																													s														sd																																																																		
1	12																													s											sl																												s?			sd																																						
1	13																																											s					sd																																																													
1	14																	sl																																											s?								sl																			s						sd																
1	15																										sd																																																																																			
1	16											s?															s			sd																																																																																
1	17																																		sl																																		sl																		s?	s						sd																
1	18																																																															sl																								s													sd									
1	19									s?								ns															sl													s																				sd																																												
1	20																										sd																																																																																			
1	21																																		sl											s												sd																																																				
1	22																																								s?					s																							s					sd																																				
1	23																	sl												s																																							s			sd																																						
1	24																																								s?			s		sd																																																																
1	25																						sl										sl																						s														s																		sd																							
1	26																																		sd																																																																											
1	27											s?		sl																																															s?								s?			sd																																						
1	28					sd																																																																																																								
1	29																																								sl											s?						s											s?			s																						sd																
1	30	s?	ns			sd																																																																																																								
2	1									s?				sl									sd																																																																																							
2	2	s												sl				sd																																																																																												
2	3																																																						sd																																																							
2	4											sld																																																																																																		
2	5																																													s?			ns			sl																	s			sd																																						
2	6																																																																																	s					sd																							
2	7	s	s?			ns														s										s			sl											s																									sd																																									
2	8																																		sl																													sd																																														
2	9																													s											sd																																																																					
2	10	sd																																																																																																												
2	11					s?												s												s																																							s					ns			sd																																	
2	12																																											sl																									sl								s																				sd													
2	13	sd																																																																																																												
2	14																	s												s			ns					sl			s					sd																																																																
2	15	s				sd																																																																																																								
2	16	sd																																																																																																												
2	17																	s?																										s																									s																									sd																
2	18																																sl																																				s										sd																															
2	19																	sl												s			ns											s					s?																																	s															sd													
2	20																						sl							sl																s			sd																																																													
2	21																																																						sl			sd																																																				
2	22																																		sl																																		sl			s		ns			s					sd																												
2	23																													s			sl																																							sl		ns			s										sd																							
2	24									s?																	s			s?								s																												sd																																												
2	25																													ns perdue																																																																																
2	26																													s																																							s																									sd																
2	27							s						sd																																																																																																
2	28											sl						sd																																																																																												
2	29																										sl			sl																sd																																																																
2	30																																								s?					sl																		s					sd																																									
3	1									sd																																																																																																				
